VAARWATER;BENAM_COD;BENAMING;S57_ID;INBEDRIJF;Y_RD;X_RD;OBJ_SOORT;IALA_CAT;N_WGS_gms;E_WGS_gms;N_WGS_gm;E_WGS_gm;Obj_vorm_c;OBJ_VORM;Obj_kleur_c;OBJ_KLEUR;Kleurpatr_c;KLEURPATR;V_TT_c;TT_TOPTEK;TT_kleur_c;TT_KLEUR;TT_pat_c;TT_KLR_PAT;Sign_kar_c;SIGN_KAR;Sign_gr_c;SIGN_GROEP;SIGN_PERIO;RACON_CODE;Licht_kl_c;LICHT_KLR;OPGEHEVEN;X_WGS84;Y_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0111;AM 11;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.47.08.86;005.06.14.00;51.47.1477;005.06.2333;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,103889;51,785794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0112;AM 12;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.47.58.18;005.02.40.56;51.47.9697;005.02.6760;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,044600;51,799494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0113;AM 16;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.47.15.86;005.03.28.88;51.47.2643;005.03.4813;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,058022;51,787739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0114;AM 18;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.46.55.96;005.03.55.49;51.46.9327;005.03.9248;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,065414;51,782211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0115;AM 20;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.46.46.62;005.04.11.24;51.46.7770;005.04.1873;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,069789;51,779617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0116;AM 22;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.46.46.89;005.04.36.55;51.46.7815;005.04.6092;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,076819;51,779692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0117;AM 9A;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.47.08.36;005.05.21.03;51.47.1393;005.05.3505;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,089175;51,785656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0119;AM 13;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.46.51.88;005.06.42.76;51.46.8647;005.06.7127;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,111878;51,781078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0120;AM 24;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.46.48.68;005.06.53.98;51.46.8113;005.06.8997;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,114994;51,780189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0121;AM 15;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.46.32.40;005.07.31.07;51.46.5400;005.07.5178;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,125297;51,775667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
